Date,Open,High,Low,Close,Adj Close,Volume
2017-10-02,105.540001,105.989998,105.099998,105.440002,102.624245,4885600
2017-10-03,105.650002,105.900002,105.290001,105.589996,102.770248,4411100
2017-10-04,105.709999,105.739998,104.900002,105.309998,102.497734,4146800
2017-10-05,105.599998,106.250000,105.150002,106.239998,103.402885,4396100
2017-10-06,106.290001,106.959999,105.870003,106.730003,103.879814,4587000
2017-10-09,106.599998,107.650002,106.540001,107.010002,104.152328,4787000
2017-10-10,107.580002,107.599998,106.820000,107.309998,104.444305,4015600
2017-10-11,107.699997,108.589996,107.599998,108.440002,105.544128,6473100
2017-10-12,108.500000,108.709999,107.900002,108.110001,105.222954,6496100
2017-10-13,108.500000,109.260002,108.400002,108.660004,105.758263,5154600
2017-10-16,108.790001,109.050003,107.160004,108.300003,105.407875,5552200
2017-10-17,108.250000,108.419998,107.300003,107.540001,104.668175,5979400
2017-10-18,107.620003,108.000000,107.459999,107.800003,104.921234,4817300
2017-10-19,107.269997,107.779999,106.900002,107.019997,104.162048,10840200
2017-10-20,107.699997,107.699997,106.970001,107.550003,104.677895,7848900
2017-10-23,108.050003,108.230003,107.099998,107.529999,104.658455,6316700
2017-10-24,107.559998,108.639999,107.180000,108.410004,105.514931,10511200
2017-10-25,109.410004,110.610001,108.000000,109.489998,106.566109,13261300
2017-10-26,110.379997,110.739998,109.669998,109.800003,106.867821,7380100
2017-10-27,110.070000,110.129997,108.690002,109.709999,106.780228,7862700
2017-10-30,109.669998,110.239998,108.919998,110.040001,107.101410,5148600
2017-10-31,110.580002,110.690002,108.660004,109.980003,107.043022,8002500
2017-11-01,110.500000,111.400002,110.419998,111.070000,108.103920,6167300
2017-11-02,111.019997,111.370003,110.199997,110.980003,108.016312,5506600
2017-11-03,110.940002,111.419998,110.510002,111.360001,108.386162,3757600
2017-11-06,111.360001,112.150002,111.199997,111.919998,108.931198,4094700
2017-11-07,112.250000,112.470001,111.559998,112.089996,109.096664,3697900
2017-11-08,112.010002,112.910004,111.820000,112.470001,109.466537,4417800
2017-11-09,111.800003,112.220001,110.930000,112.139999,109.145325,4334700
2017-11-10,111.709999,111.980003,111.279999,111.879997,108.892273,4198900
2017-11-13,111.550003,111.860001,111.339996,111.400002,108.425095,7185600
2017-11-14,111.080002,112.040001,110.809998,111.980003,108.989616,5679600
2017-11-15,111.339996,111.870003,110.139999,110.250000,107.305809,6895100
2017-11-16,110.750000,111.440002,110.570000,111.019997,108.246696,5655100
2017-11-17,110.690002,110.910004,109.699997,109.820000,107.076668,8812400
2017-11-20,109.949997,110.680000,109.690002,109.949997,107.203438,6873200
2017-11-21,110.449997,111.489998,110.300003,111.449997,108.665955,6456500
2017-11-22,111.500000,111.660004,110.699997,110.820000,108.051712,4067600
2017-11-24,111.309998,112.160004,111.139999,111.970001,109.172951,3045600
2017-11-27,112.000000,112.540001,111.910004,112.379997,109.572739,6620500
2017-11-28,112.599998,113.620003,112.559998,113.360001,110.528236,6671300
2017-11-29,113.620003,113.620003,106.900002,109.860001,107.115677,14505400
2017-11-30,110.500000,112.589996,110.029999,112.589996,109.777473,18533300
2017-12-01,112.379997,112.440002,109.760002,110.730003,107.963959,13101800
2017-12-04,111.330002,111.449997,106.970001,107.430000,104.746368,18909100
2017-12-05,108.889999,109.239998,106.599998,108.580002,105.867645,12081500
2017-12-06,108.489998,110.169998,108.260002,109.739998,106.998665,7532100
2017-12-07,109.769997,111.410004,109.449997,111.400002,108.617203,7384900
2017-12-08,112.129997,112.610001,111.820000,112.599998,109.787231,7594900
2017-12-11,112.500000,113.349998,112.160004,112.370003,109.562981,7538600
2017-12-12,112.370003,113.730003,112.000000,113.459999,110.625740,8754400
2017-12-13,113.750000,114.370003,113.190002,113.309998,110.479500,8088900
2017-12-14,113.550003,114.089996,112.919998,112.919998,110.099251,9815600
2017-12-15,113.970001,114.199997,112.389999,113.820000,110.976738,16388000
2017-12-18,114.690002,114.750000,113.250000,113.550003,110.713493,8961800
2017-12-19,113.279999,113.279999,112.080002,112.139999,109.338707,7899400
2017-12-20,112.720001,113.099998,111.989998,112.120003,109.319221,6201900
2017-12-21,112.599998,113.099998,112.320000,112.410004,109.601982,8866400
2017-12-22,112.389999,113.110001,112.250000,112.690002,109.874992,6190100
2017-12-26,112.070000,113.440002,112.070000,112.989998,110.167496,3948900
2017-12-27,112.690002,114.070000,112.650002,114.019997,111.171730,7073100
2017-12-28,114.300003,114.919998,113.989998,114.349998,111.493515,6937100
2017-12-29,114.750000,114.889999,114.019997,114.019997,111.171730,5249000
2018-01-02,114.570000,115.080002,113.949997,114.510002,111.649521,6080900
2018-01-03,114.949997,115.790001,114.660004,115.650002,112.761040,6946100
2018-01-04,116.250000,117.360001,116.029999,116.080002,113.180305,7805300
2018-01-05,116.989998,119.000000,116.419998,118.860001,115.890854,8590500
2018-01-08,118.610001,120.480003,118.070000,119.339996,116.358849,6660700
2018-01-09,119.970001,119.970001,118.660004,119.110001,116.134598,6562400
2018-01-10,118.690002,119.050003,117.459999,118.980003,116.007858,7490300
2018-01-11,118.800003,119.980003,118.680000,119.839996,116.846375,5982100
2018-01-12,120.120003,120.349998,119.709999,120.089996,117.090118,5585800
2018-01-16,121.180000,121.940002,119.910004,120.389999,117.382652,8803800
2018-01-17,121.199997,122.160004,120.730003,121.980003,118.932915,7991500
2018-01-18,122.519997,123.199997,122.029999,123.110001,120.034691,8661000
2018-01-19,123.050003,123.650002,121.919998,122.699997,119.634918,8250700
2018-01-22,122.870003,124.330002,122.400002,124.330002,121.224213,9355000
2018-01-23,124.599998,125.510002,124.209999,124.650002,121.536224,5683300
2018-01-24,125.050003,125.449997,123.709999,124.550003,121.438721,6425200
2018-01-25,125.000000,125.470001,124.629997,125.220001,122.091988,7166400
2018-01-26,125.769997,126.379997,124.760002,126.320000,123.164497,5604900
2018-01-29,126.739998,126.879997,124.690002,124.839996,121.721466,6257900
2018-01-30,123.820000,124.290001,122.839996,123.550003,120.463707,8154400
2018-01-31,123.779999,124.480003,123.040001,124.230003,121.126709,7338200
2018-02-01,124.739998,126.260002,124.099998,125.720001,122.579506,11169700
2018-02-02,123.720001,123.720001,120.699997,120.910004,117.889641,13937700
2018-02-05,118.699997,121.129997,115.010002,116.269997,113.365555,16623900
2018-02-06,115.199997,120.300003,113.250000,119.970001,116.973137,19053300
2018-02-07,120.089996,122.459999,119.209999,119.650002,116.661118,9294000
2018-02-08,119.529999,119.820000,113.540001,113.860001,111.015755,12673400
2018-02-09,114.550003,117.209999,111.019997,116.320000,113.414314,17695500
2018-02-12,117.790001,118.839996,116.879997,118.470001,115.510597,11526300
2018-02-13,117.849998,118.800003,117.129997,118.349998,115.393600,7803900
2018-02-14,117.620003,120.949997,117.500000,120.830002,117.811638,9206400
2018-02-15,121.699997,122.309998,119.970001,122.279999,119.432999,6921300
2018-02-16,121.629997,122.989998,121.570000,121.849998,119.013008,6371400
2018-02-20,121.349998,123.050003,121.019997,122.010002,119.169289,6182800
2018-02-21,122.050003,122.830002,120.410004,120.430000,117.626068,7676100
2018-02-22,120.669998,121.379997,119.620003,120.379997,117.577232,4994000
2018-02-23,121.570000,122.959999,121.220001,122.930000,120.067856,5036900
2018-02-26,123.580002,124.599998,123.320000,124.589996,121.689201,6270500
2018-02-27,124.699997,125.300003,123.349998,123.370003,120.497612,7287200
2018-02-28,123.650002,124.980003,122.879997,122.940002,120.077621,6780900
2018-03-01,123.260002,124.000000,119.620003,120.400002,117.596764,8819600
2018-03-02,119.089996,120.980003,117.860001,120.769997,117.958153,7581900
2018-03-05,120.449997,122.309998,119.440002,121.879997,119.042305,5810200
2018-03-06,122.830002,123.239998,120.669998,121.059998,118.241394,7464400
2018-03-07,120.029999,122.239998,119.699997,121.849998,119.013008,7254100
2018-03-08,121.959999,122.820000,121.169998,122.220001,119.374382,6948900
2018-03-09,123.250000,124.790001,122.870003,124.510002,121.611069,6397700
2018-03-12,124.750000,124.980003,123.480003,124.239998,121.347351,8636000
2018-03-13,124.250000,125.000000,122.900002,123.199997,120.331573,9479500
2018-03-14,124.040001,124.040001,121.900002,122.580002,119.726006,7855000
2018-03-15,123.129997,124.419998,122.699997,123.410004,120.536682,5861900
2018-03-16,123.849998,125.050003,123.330002,124.529999,121.630600,9447100
2018-03-19,123.940002,124.309998,122.279999,123.209999,120.341331,17387800
2018-03-20,123.379997,125.169998,123.300003,124.910004,122.001747,7779700
2018-03-21,124.900002,125.440002,123.070000,123.220001,120.351097,7359500
2018-03-22,122.199997,122.680000,119.699997,119.989998,117.196304,10501500
2018-03-23,119.889999,120.330002,116.760002,117.000000,114.275917,10024300
2018-03-26,119.089996,120.739998,117.800003,120.639999,117.831169,8735400
2018-03-27,121.519997,121.599998,116.739998,117.400002,114.666611,9008600
2018-03-28,116.930000,118.070000,116.029999,116.989998,114.266151,9420400
2018-03-29,117.680000,120.589996,117.040001,119.620003,116.834915,12918100
2018-04-02,119.269997,119.830002,116.760002,118.389999,115.633575,9877100
2018-04-03,118.889999,119.989998,117.489998,119.199997,116.424698,7084800
2018-04-04,116.900002,120.120003,116.709999,119.809998,117.020508,8425700
2018-04-05,121.000000,122.010002,120.370003,121.190002,118.368378,6816000
2018-04-06,120.180000,120.559998,117.120003,117.699997,114.959633,8383800
2018-04-09,118.629997,120.669998,118.629997,118.790001,116.024239,7024800
2018-04-10,120.559998,121.160004,119.639999,120.720001,117.909317,8947200
2018-04-11,119.989998,121.660004,119.620003,119.779999,116.991196,5874900
2018-04-12,120.400002,121.980003,120.389999,121.070000,118.251167,5666000
2018-04-13,121.730003,122.470001,120.650002,120.750000,117.938614,9174300
2018-04-16,122.110001,122.870003,121.510002,121.879997,119.042305,6903200
2018-04-17,122.910004,124.260002,122.519997,123.800003,120.917587,5979600
2018-04-18,124.059998,124.870003,123.379997,124.480003,121.581779,5171000
2018-04-19,124.309998,124.720001,123.150002,123.959999,121.073875,7294100
2018-04-20,124.059998,124.820000,123.309998,124.199997,121.308296,7479400
2018-04-23,124.300003,124.970001,123.900002,124.459999,121.562241,8004300
2018-04-24,124.870003,125.040001,120.550003,121.269997,118.446503,9434400
2018-04-25,121.139999,121.349998,119.370003,121.209999,118.387909,8001200
2018-04-26,125.139999,127.589996,123.779999,127.080002,124.121223,14345800
2018-04-27,126.440002,127.059998,125.389999,126.010002,123.076157,6842700
2018-04-30,126.739998,127.900002,126.660004,126.879997,123.925896,8449200
2018-05-01,126.860001,127.570000,125.510002,127.510002,124.541222,6407300
2018-05-02,127.879997,128.100006,126.000000,126.379997,123.437538,8515300
2018-05-03,125.809998,127.459999,125.320000,127.180000,124.218910,6778600
2018-05-04,126.330002,128.360001,126.070000,128.160004,125.176094,5798400
2018-05-07,128.399994,129.520004,128.250000,129.259995,126.250473,5737300
2018-05-08,129.139999,129.970001,128.309998,129.899994,126.875549,5044700
2018-05-09,130.009995,131.000000,129.589996,130.839996,127.793678,6119400
2018-05-10,131.289993,131.750000,130.720001,131.000000,127.949974,6585800
2018-05-11,131.000000,132.089996,130.229996,131.820007,128.750854,5437100
2018-05-14,132.429993,132.500000,130.669998,131.210007,128.155106,5017000
2018-05-15,130.559998,131.399994,129.899994,131.100006,128.047653,5532300
2018-05-16,131.089996,131.399994,130.539993,130.889999,127.842522,5124200
2018-05-17,130.580002,130.800003,129.610001,129.929993,127.108788,4911700
2018-05-18,129.619995,130.339996,129.070007,129.929993,127.108788,6082700
2018-05-21,130.949997,131.509995,129.990005,130.660004,127.822968,5591800
2018-05-22,131.000000,131.779999,130.500000,130.710007,127.871880,6645500
2018-05-23,130.059998,131.910004,129.800003,131.880005,129.016479,6569100
